numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250106150000;99150;550;1;260;8.200000;280.350000;277.650000;83;19970;0;mq;mq;mq;mq;mq;mq;mq;mq;98290;mq;mq;-70;mq;mq;mq;mq;278.450000;mq;mq;13.600000;18.300000;-10;mq;0.000000;mq;mq;0.400000;0.600000;1.600000;1.600000;2.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250106150000;99010;740;1;250;10.800000;280.050000;276.150000;76;48900;0;mq;mq;90;7;800;mq;mq;mq;98450;mq;mq;-200;mq;mq;mq;mq;278.350000;mq;mq;15.600000;21.200000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;2.400000;2.400000;3.800000;mq;mq;mq;mq;6;mq;990;6;mq;1200;7;mq;1440;mq;mq;mq;
07020;20250106150000;99260;190;1;260;13.800000;281.150000;275.150000;66;10000;15;2;2;75;6;1250;38;20;10;99150;mq;mq;430;mq;mq;mq;mq;mq;mq;mq;18.100000;21.000000;-10;mq;mq;mq;mq;0.200000;0.200000;0.200000;0.200000;1.400000;mq;mq;mq;mq;6;6;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250106150000;99510;280;3;250;8.600000;279.150000;276.350000;82;35460;0;mq;mq;100;4;800;mq;mq;mq;98700;mq;mq;290;mq;mq;mq;mq;280.350000;mq;mq;12.600000;19.400000;-10;1;0.000000;mq;mq;0.800000;0.800000;2.000000;3.600000;4.000000;mq;mq;mq;mq;2;mq;780;4;mq;960;8;mq;2940;mq;mq;mq;
07037;20250106150000;99440;450;1;250;8.600000;280.650000;275.750000;71;35560;0;mq;mq;90;7;1250;mq;mq;mq;97570;mq;mq;40;mq;mq;mq;mq;280.050000;mq;mq;13.200000;16.800000;-10;mq;0.000000;mq;mq;-0.100000;0.200000;0.400000;2.000000;2.000000;mq;mq;mq;mq;7;mq;1020;7;mq;1260;mq;mq;mq;mq;mq;mq;
07072;20250106150000;99480;560;1;240;7.600000;282.150000;276.950000;70;20000;0;mq;mq;90;4;1250;mq;mq;mq;98350;mq;mq;-290;mq;mq;mq;mq;280.350000;mq;mq;12.900000;13.200000;-10;0;0.000000;mq;mq;0.000000;1.200000;1.600000;3.400000;3.400000;mq;mq;mq;mq;4;mq;1080;7;mq;2520;mq;8;mq;mq;mq;mq;
07110;20250106150000;99860;200;3;280;7.400000;279.950000;276.550000;79;16950;0;mq;mq;90;5;800;mq;mq;mq;98680;mq;mq;990;mq;mq;mq;mq;278.250000;mq;mq;13.400000;18.800000;-10;1;0.000000;mq;mq;-0.100000;0.800000;1.400000;3.200000;5.000000;mq;mq;mq;mq;1;mq;780;3;mq;1080;5;mq;1320;mq;mq;mq;
07117;20250106150000;99560;110;3;250;9.600000;281.450000;276.450000;71;10000;61;6;2;75;6;1250;39;26;10;98860;mq;mq;730;mq;mq;mq;mq;mq;mq;mq;16.000000;21.000000;-10;1;mq;mq;mq;-0.100000;1.000000;1.000000;2.000000;3.200000;mq;mq;mq;mq;5;8;1000;3;3;2500;1;9;1000;mq;mq;mq;
07130;20250106150000;99800;140;1;250;6.000000;282.650000;275.450000;61;60000;0;mq;mq;mq;2;1250;mq;mq;mq;99360;mq;mq;490;mq;mq;mq;mq;279.550000;mq;mq;10.200000;13.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.800000;1.000000;mq;mq;mq;mq;2;mq;1290;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20250106150000;99730;310;2;240;7.200000;281.350000;275.750000;68;20000;0;mq;mq;100;8;1250;mq;mq;mq;98000;mq;mq;190;mq;mq;mq;mq;280.350000;mq;mq;12.900000;14.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.600000;4.200000;4.200000;mq;mq;mq;mq;5;mq;1080;8;mq;1290;mq;mq;mq;mq;mq;mq;
07149;20250106150000;99650;430;1;240;8.000000;281.850000;276.050000;67;20000;25;2;2;90;6;1250;32;20;11;98570;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;13.400000;14.700000;-10;2;0.000000;0.000000;-30;0.000000;0.200000;1.000000;1.400000;1.600000;mq;mq;mq;mq;6;8;1000;4;0;7800;mq;mq;mq;mq;mq;mq;
07168;20250106150000;99770;490;3;250;9.900000;281.650000;277.650000;76;20000;0;mq;mq;75;6;800;mq;mq;mq;98360;mq;mq;-180;mq;mq;mq;mq;280.550000;mq;mq;15.500000;17.200000;-10;mq;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.400000;0.400000;mq;mq;mq;mq;1;mq;900;4;mq;1500;5;mq;2040;mq;mq;mq;
07181;20250106150000;99560;280;3;250;12.900000;282.850000;277.250000;68;57060;0;mq;mq;100;8;800;mq;mq;mq;95470;mq;mq;-490;mq;mq;mq;mq;280.850000;mq;mq;21.900000;21.900000;-10;mq;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;6;mq;900;8;mq;1140;mq;mq;mq;mq;mq;mq;
07190;20250106150000;99490;110;3;220;7.500000;287.250000;280.350000;63;58960;0;mq;mq;100;8;1750;mq;mq;mq;97730;mq;mq;-600;mq;mq;mq;mq;279.150000;mq;mq;12.900000;17.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;1680;7;mq;1980;8;mq;5040;mq;mq;mq;
07207;20250106150000;mq;mq;mq;280;13.600000;281.150000;mq;mq;10000;15;2;mq;60;5;1250;35;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;23.100000;24.000000;-10;1;mq;mq;mq;0.200000;0.800000;1.000000;3.800000;3.800000;mq;mq;mq;mq;5;6;1000;2;8;1100;mq;mq;mq;mq;mq;mq;
07222;20250106150000;100060;170;3;250;5.800000;280.250000;277.750000;84;6490;60;mq;mq;90;7;800;mq;mq;mq;99740;mq;mq;510;mq;mq;mq;mq;280.750000;mq;mq;11.600000;13.700000;-10;mq;0.000000;mq;mq;0.400000;0.400000;0.400000;3.600000;5.200000;mq;mq;mq;mq;4;mq;900;5;mq;1230;7;mq;1500;mq;8;mq;
07240;20250106150000;100010;320;2;250;6.700000;282.250000;275.350000;62;60000;0;mq;mq;mq;0;mq;mq;mq;mq;98670;mq;mq;180;mq;mq;mq;mq;280.850000;mq;mq;11.400000;12.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;1.200000;1.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20250106150000;100070;310;3;260;6.400000;282.450000;276.850000;68;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98090;mq;mq;-10;mq;mq;mq;mq;281.050000;mq;mq;12.800000;16.500000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;0.400000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
