numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241227180000;103260;60;3;120;1.800000;275.350000;273.750000;89;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;102350;mq;mq;-220;273.650000;mq;277.850000;mq;275.250000;mq;mq;2.600000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241227180000;103300;70;2;80;2.100000;273.550000;273.550000;100;110;45;mq;mq;101;9;30;mq;mq;mq;102700;mq;mq;-230;273.550000;mq;278.150000;mq;274.750000;mq;mq;2.900000;3.400000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241227180000;103120;20;3;180;1.300000;280.050000;279.150000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;103010;mq;mq;-250;280.050000;mq;282.650000;mq;mq;mq;mq;2.000000;2.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241227180000;103190;0;5;160;0.900000;276.650000;276.250000;97;3470;10;mq;mq;100;8;80;mq;mq;mq;102340;mq;mq;-200;276.550000;mq;280.150000;mq;280.450000;mq;mq;2.900000;3.300000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20241227180000;103250;30;2;200;0.600000;273.450000;273.450000;100;70;45;mq;mq;101;9;30;mq;mq;mq;101250;mq;mq;-230;272.250000;mq;278.650000;mq;276.950000;mq;mq;1.100000;1.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241227180000;103290;60;2;320;0.500000;272.750000;271.950000;94;10050;0;mq;mq;mq;0;mq;mq;mq;mq;102070;mq;mq;-160;270.150000;mq;278.350000;mq;272.950000;mq;mq;0.700000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241227180000;103140;40;2;230;1.100000;277.550000;277.550000;100;560;44;mq;mq;100;8;80;mq;mq;mq;101910;mq;mq;-130;276.550000;mq;278.750000;mq;279.550000;mq;mq;1.900000;2.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241227180000;103100;20;1;130;1.100000;278.450000;278.150000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102370;mq;mq;-200;277.150000;mq;279.550000;mq;mq;mq;mq;2.800000;2.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241227180000;103160;20;3;120;1.500000;277.550000;275.550000;87;10500;0;mq;mq;100;8;250;mq;mq;mq;102690;mq;mq;-120;277.550000;mq;278.550000;mq;280.950000;mq;mq;3.400000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241227180000;103220;30;3;190;1.800000;275.150000;275.150000;100;440;45;mq;mq;101;9;30;mq;mq;mq;101390;mq;mq;-150;275.050000;mq;276.850000;mq;280.750000;mq;mq;2.700000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
