numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241226150000;103470;-100;6;100;2.500000;278.850000;278.750000;99;19880;0;mq;mq;mq;mq;mq;mq;mq;mq;102570;mq;mq;0;mq;mq;mq;mq;280.250000;mq;mq;4.700000;4.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241226150000;103530;-80;7;70;2.100000;278.850000;278.450000;97;8060;0;mq;mq;100;8;150;mq;mq;mq;102940;mq;mq;70;mq;mq;mq;mq;279.950000;mq;mq;3.000000;3.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241226150000;103310;-120;6;80;4.500000;281.450000;280.350000;93;2000;10;2;mq;100;8;800;36;mq;mq;103200;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;6.400000;6.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241226150000;103350;-110;6;110;2.900000;281.050000;280.950000;99;2190;10;mq;mq;100;8;80;mq;mq;mq;102520;mq;mq;-120;mq;mq;mq;mq;281.450000;mq;mq;4.300000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20241226150000;103400;-110;6;70;2.600000;279.650000;279.650000;100;14380;0;mq;mq;100;8;80;mq;mq;mq;101450;mq;mq;-110;mq;mq;mq;mq;280.650000;mq;mq;3.600000;3.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241226150000;103410;-80;6;30;2.000000;281.250000;277.050000;75;20000;0;mq;mq;mq;0;mq;mq;mq;mq;102230;mq;mq;-140;mq;mq;mq;mq;277.150000;mq;mq;3.700000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241226150000;103230;-110;6;70;1.700000;280.250000;280.250000;100;150;45;mq;mq;101;9;30;mq;mq;mq;102010;mq;mq;-170;mq;mq;mq;mq;278.650000;mq;mq;3.100000;5.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.600000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20241226150000;103260;-90;6;60;3.200000;280.150000;280.150000;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102540;mq;mq;-160;mq;mq;mq;mq;mq;mq;mq;6.700000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241226150000;103250;-120;6;90;2.400000;281.050000;280.750000;98;19100;0;mq;mq;100;8;150;mq;mq;mq;102790;mq;mq;-180;mq;mq;mq;mq;282.050000;mq;mq;3.900000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241226150000;103290;-130;6;50;3.900000;281.450000;280.350000;93;19450;0;mq;mq;90;7;250;mq;mq;mq;101500;mq;mq;-150;mq;mq;mq;mq;281.350000;mq;mq;5.600000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;7;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20241226150000;103370;-90;6;70;2.800000;281.850000;277.850000;76;17000;1;0;0;0;0;mq;30;20;10;102250;mq;mq;-110;mq;mq;mq;mq;mq;mq;mq;3.600000;4.900000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20241226150000;103370;-60;6;40;2.000000;280.550000;275.650000;71;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101900;mq;mq;-150;mq;mq;mq;mq;275.250000;mq;mq;3.200000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20241226150000;103350;-90;6;50;2.900000;279.350000;271.250000;56;52550;0;mq;mq;mq;0;mq;mq;mq;mq;99050;mq;mq;-200;mq;mq;mq;mq;271.850000;mq;mq;4.600000;5.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
